X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 542.89;12728.000;    0.000;    0.000
 543.05;15488.000;    0.000;    0.000
 543.21;21504.000;    0.000;    0.000
 543.37;19596.000;    0.000;    0.000
 543.54;15936.000;    0.000;    0.000
 543.70;15364.000;    0.000;    0.000
 543.86;13552.000;    0.000;    0.000
 544.03;18516.000;    0.000;    0.000
 544.19;17440.000;    0.000;    0.000
 544.35;17948.000;    0.000;    0.000
 544.51;19288.000;    0.000;    0.000
 544.68;22064.000;    0.000;    0.000
 544.84;13432.000;    0.000;    0.000
 545.00;16564.000;    0.000;    0.000
 545.17;22612.000;    0.000;    0.000
 545.33;16220.000;    0.000;    0.000
 545.49;10144.000;    0.000;    0.000
 545.65;17068.000;    0.000;    0.000
 545.82;15720.000;    0.000;    0.000
 545.98;20012.000;    0.000;    0.000
 546.14;14376.000;    0.000;    0.000
 546.31;13132.000;    0.000;    0.000
 546.47;21784.000;    0.000;    0.000
 546.63;17116.000;    0.000;    0.000
 546.79;16044.000;    0.000;    0.000
 546.96;15284.000;    0.000;    0.000
 547.12;16300.000;    0.000;    0.000
 547.28;18684.000;    0.000;    0.000
 547.44; 9316.000;    0.000;    0.000
 547.61;12096.000;    0.000;    0.000
 547.77;12344.000;    0.000;    0.000
 547.93;20864.000;    0.000;    0.000
 548.10;16432.000;    0.000;    0.000
 548.26;14836.000;    0.000;    0.000
 548.42;17812.000;    0.000;    0.000
 548.58;22472.000;    0.000;    0.000
 548.75;20040.000;    0.000;    0.000
 548.91;12944.000;    0.000;    0.000
 549.07;15336.000;    0.000;    0.000
 549.23;23696.000;    0.000;    0.000
 549.40;19360.000;    0.000;    0.000
 549.56;17564.000;    0.000;    0.000
 549.72;13680.000;    0.000;    0.000
 549.88;19292.000;    0.000;    0.000
 550.05;16120.000;    0.000;    0.000
 550.21;14116.000;    0.000;    0.000
 550.37;14648.000;    0.000;    0.000
 550.53;12932.000;    0.000;    0.000
 550.70;12588.000;    0.000;    0.000
 550.86;18112.000;    0.000;    0.000
 551.02;19344.000;    0.000;    0.000
 551.19;18688.000;    0.000;    0.000
 551.35;12728.000;    0.000;    0.000
 551.51;14136.000;    0.000;    0.000
 551.67;11800.000;    0.000;    0.000
 551.84;15360.000;    0.000;    0.000
 552.00;21264.000;    0.000;    0.000
 552.16;18532.000;    0.000;    0.000
 552.32;11324.000;    0.000;    0.000
 552.49;18680.000;    0.000;    0.000
 552.65;12920.000;    0.000;    0.000
 552.81;17324.000;    0.000;    0.000
 552.97;11592.000;    0.000;    0.000
 553.14;16784.000;    0.000;    0.000
 553.30;14328.000;    0.000;    0.000
 553.46;13592.000;    0.000;    0.000
 553.62;18040.000;    0.000;    0.000
 553.79;18152.000;    0.000;    0.000
 553.95;19204.000;    0.000;    0.000
 554.11;20300.000;    0.000;    0.000
 554.27;21432.000;    0.000;    0.000
 554.43;19952.000;    0.000;    0.000
 554.60;15664.000;    0.000;    0.000
 554.76;20288.000;    0.000;    0.000
 554.92;12540.000;    0.000;    0.000
 555.08;20580.000;    0.000;    0.000
 555.25;16080.000;    0.000;    0.000
 555.41;16360.000;    0.000;    0.000
 555.57;14164.000;    0.000;    0.000
 555.73;18368.000;    0.000;    0.000
 555.90;13160.000;    0.000;    0.000
 556.06; 7940.000;    0.000;    0.000
 556.22;15912.000;    0.000;    0.000
 556.38;18064.000;    0.000;    0.000
 556.55;13200.000;    0.000;    0.000
 556.71;17612.000;    0.000;    0.000
 556.87;16288.000;    0.000;    0.000
 557.03;15116.000;    0.000;    0.000
 557.19; 8880.000;    0.000;    0.000
 557.36;15100.000;    0.000;    0.000
 557.52;17464.000;    0.000;    0.000
 557.68;19480.000;    0.000;    0.000
 557.84;11684.000;    0.000;    0.000
 558.01;12740.000;    0.000;    0.000
 558.17;14144.000;    0.000;    0.000
 558.33;18084.000;    0.000;    0.000
 558.49;20068.000;    0.000;    0.000
 558.65;14864.000;    0.000;    0.000
 558.82;18856.000;    0.000;    0.000
 558.98;16576.000;    0.000;    0.000
 559.14;20724.000;    0.000;    0.000
 559.30;12116.000;    0.000;    0.000
 559.47;18048.000;    0.000;    0.000
 559.63;17068.000;    0.000;    0.000
 559.79;18020.000;    0.000;    0.000
 559.95;18732.000;    0.000;    0.000
 560.11;18076.000;    0.000;    0.000
 560.28;23184.000;    0.000;    0.000
 560.44;14620.000;    0.000;    0.000
 560.60;20132.000;    0.000;    0.000
 560.76;17064.000;    0.000;    0.000
 560.93;16064.000;    0.000;    0.000
 561.09;12108.000;    0.000;    0.000
 561.25; 9352.000;    0.000;    0.000
 561.41;13460.000;    0.000;    0.000
 561.57;23104.000;    0.000;    0.000
 561.74;12564.000;    0.000;    0.000
 561.90;17360.000;    0.000;    0.000
 562.06;19612.000;    0.000;    0.000
 562.22;13268.000;    0.000;    0.000
 562.38;14060.000;    0.000;    0.000
 562.55;10788.000;    0.000;    0.000
 562.71;17064.000;    0.000;    0.000
 562.87;13644.000;    0.000;    0.000
 563.03;10756.000;    0.000;    0.000
 563.19;14032.000;    0.000;    0.000
 563.36;17356.000;    0.000;    0.000
 563.52;15460.000;    0.000;    0.000
 563.68;18880.000;    0.000;    0.000
 563.84;10980.000;    0.000;    0.000
 564.00;23200.000;    0.000;    0.000
 564.17;15944.000;    0.000;    0.000
 564.33;13820.000;    0.000;    0.000
 564.49;14596.000;    0.000;    0.000
 564.65;11964.000;    0.000;    0.000
 564.81;14636.000;    0.000;    0.000
 564.98;14796.000;    0.000;    0.000
 565.14;10840.000;    0.000;    0.000
 565.30;15788.000;    0.000;    0.000
 565.46;17624.000;    0.000;    0.000
 565.62;14624.000;    0.000;    0.000
 565.79;13612.000;    0.000;    0.000
 565.95;17156.000;    0.000;    0.000
 566.11;21220.000;    0.000;    0.000
 566.27;17752.000;    0.000;    0.000
 566.43;19320.000;    0.000;    0.000
 566.59;12560.000;    0.000;    0.000
 566.76;19972.000;    0.000;    0.000
 566.92;12072.000;    0.000;    0.000
 567.08;12400.000;    0.000;    0.000
 567.24;19268.000;    0.000;    0.000
 567.40;16580.000;    0.000;    0.000
 567.57;14128.000;    0.000;    0.000
 567.73;31320.000;    0.000;    0.000
 567.89;16284.000;    0.000;    0.000
