X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 542.89;12432.000;    0.000;    0.000
 543.05;14968.000;    0.000;    0.000
 543.21;20988.000;    0.000;    0.000
 543.37;18916.000;    0.000;    0.000
 543.54;15584.000;    0.000;    0.000
 543.70;14684.000;    0.000;    0.000
 543.86;13308.000;    0.000;    0.000
 544.03;17872.000;    0.000;    0.000
 544.19;17068.000;    0.000;    0.000
 544.35;17124.000;    0.000;    0.000
 544.51;18952.000;    0.000;    0.000
 544.68;21536.000;    0.000;    0.000
 544.84;13020.000;    0.000;    0.000
 545.00;15944.000;    0.000;    0.000
 545.17;21944.000;    0.000;    0.000
 545.33;15892.000;    0.000;    0.000
 545.49; 9964.000;    0.000;    0.000
 545.65;16456.000;    0.000;    0.000
 545.82;15536.000;    0.000;    0.000
 545.98;19252.000;    0.000;    0.000
 546.14;13908.000;    0.000;    0.000
 546.31;12920.000;    0.000;    0.000
 546.47;20968.000;    0.000;    0.000
 546.63;16836.000;    0.000;    0.000
 546.79;14480.000;    0.000;    0.000
 546.96;14952.000;    0.000;    0.000
 547.12;15780.000;    0.000;    0.000
 547.28;18432.000;    0.000;    0.000
 547.44; 9284.000;    0.000;    0.000
 547.61;11820.000;    0.000;    0.000
 547.77;12060.000;    0.000;    0.000
 547.93;20036.000;    0.000;    0.000
 548.10;15788.000;    0.000;    0.000
 548.26;14360.000;    0.000;    0.000
 548.42;17384.000;    0.000;    0.000
 548.58;21900.000;    0.000;    0.000
 548.75;19228.000;    0.000;    0.000
 548.91;12688.000;    0.000;    0.000
 549.07;14888.000;    0.000;    0.000
 549.23;23328.000;    0.000;    0.000
 549.40;18612.000;    0.000;    0.000
 549.56;16836.000;    0.000;    0.000
 549.72;13280.000;    0.000;    0.000
 549.88;18724.000;    0.000;    0.000
 550.05;15636.000;    0.000;    0.000
 550.21;13852.000;    0.000;    0.000
 550.37;14248.000;    0.000;    0.000
 550.53;12712.000;    0.000;    0.000
 550.70;12264.000;    0.000;    0.000
 550.86;17540.000;    0.000;    0.000
 551.02;18768.000;    0.000;    0.000
 551.19;17896.000;    0.000;    0.000
 551.35;12240.000;    0.000;    0.000
 551.51;13668.000;    0.000;    0.000
 551.67;11380.000;    0.000;    0.000
 551.84;14928.000;    0.000;    0.000
 552.00;20476.000;    0.000;    0.000
 552.16;17716.000;    0.000;    0.000
 552.32;11268.000;    0.000;    0.000
 552.49;17904.000;    0.000;    0.000
 552.65;12552.000;    0.000;    0.000
 552.81;16560.000;    0.000;    0.000
 552.97;11208.000;    0.000;    0.000
 553.14;16132.000;    0.000;    0.000
 553.30;14036.000;    0.000;    0.000
 553.46;13224.000;    0.000;    0.000
 553.62;17556.000;    0.000;    0.000
 553.79;17700.000;    0.000;    0.000
 553.95;18356.000;    0.000;    0.000
 554.11;19464.000;    0.000;    0.000
 554.27;20444.000;    0.000;    0.000
 554.43;19136.000;    0.000;    0.000
 554.60;15224.000;    0.000;    0.000
 554.76;19428.000;    0.000;    0.000
 554.92;12016.000;    0.000;    0.000
 555.08;19876.000;    0.000;    0.000
 555.25;15768.000;    0.000;    0.000
 555.41;15888.000;    0.000;    0.000
 555.57;13728.000;    0.000;    0.000
 555.73;18188.000;    0.000;    0.000
 555.90;12888.000;    0.000;    0.000
 556.06; 7988.000;    0.000;    0.000
 556.22;19496.000;    0.000;    0.000
 556.38;17344.000;    0.000;    0.000
 556.55;12620.000;    0.000;    0.000
 556.71;16916.000;    0.000;    0.000
 556.87;15588.000;    0.000;    0.000
 557.03;14620.000;    0.000;    0.000
 557.19; 8824.000;    0.000;    0.000
 557.36;14620.000;    0.000;    0.000
 557.52;16120.000;    0.000;    0.000
 557.68;19044.000;    0.000;    0.000
 557.84;11388.000;    0.000;    0.000
 558.01;12392.000;    0.000;    0.000
 558.17;13672.000;    0.000;    0.000
 558.33;17712.000;    0.000;    0.000
 558.49;19132.000;    0.000;    0.000
 558.65;14628.000;    0.000;    0.000
 558.82;18220.000;    0.000;    0.000
 558.98;16040.000;    0.000;    0.000
 559.14;19640.000;    0.000;    0.000
 559.30;11852.000;    0.000;    0.000
 559.47;17180.000;    0.000;    0.000
 559.63;16476.000;    0.000;    0.000
 559.79;17240.000;    0.000;    0.000
 559.95;18220.000;    0.000;    0.000
 560.11;17460.000;    0.000;    0.000
 560.28;22396.000;    0.000;    0.000
 560.44;13876.000;    0.000;    0.000
 560.60;19508.000;    0.000;    0.000
 560.76;16504.000;    0.000;    0.000
 560.93;15832.000;    0.000;    0.000
 561.09;11680.000;    0.000;    0.000
 561.25; 9264.000;    0.000;    0.000
 561.41;13084.000;    0.000;    0.000
 561.57;22324.000;    0.000;    0.000
 561.74;11980.000;    0.000;    0.000
 561.90;16260.000;    0.000;    0.000
 562.06;18892.000;    0.000;    0.000
 562.22;12856.000;    0.000;    0.000
 562.38;13704.000;    0.000;    0.000
 562.55;10540.000;    0.000;    0.000
 562.71;16496.000;    0.000;    0.000
 562.87;13388.000;    0.000;    0.000
 563.03;10540.000;    0.000;    0.000
 563.19;13456.000;    0.000;    0.000
 563.36;16668.000;    0.000;    0.000
 563.52;15088.000;    0.000;    0.000
 563.68;18292.000;    0.000;    0.000
 563.84;10676.000;    0.000;    0.000
 564.00;22404.000;    0.000;    0.000
 564.17;15416.000;    0.000;    0.000
 564.33;13256.000;    0.000;    0.000
 564.49;14056.000;    0.000;    0.000
 564.65;11680.000;    0.000;    0.000
 564.81;14056.000;    0.000;    0.000
 564.98;14436.000;    0.000;    0.000
 565.14;10784.000;    0.000;    0.000
 565.30;15420.000;    0.000;    0.000
 565.46;17072.000;    0.000;    0.000
 565.62;14084.000;    0.000;    0.000
 565.79;13192.000;    0.000;    0.000
 565.95;16684.000;    0.000;    0.000
 566.11;20416.000;    0.000;    0.000
 566.27;17196.000;    0.000;    0.000
 566.43;18436.000;    0.000;    0.000
 566.59;12324.000;    0.000;    0.000
 566.76;19260.000;    0.000;    0.000
 566.92;11664.000;    0.000;    0.000
 567.08;12180.000;    0.000;    0.000
 567.24;18720.000;    0.000;    0.000
 567.40;15980.000;    0.000;    0.000
 567.57;13600.000;    0.000;    0.000
 567.73;29948.000;    0.000;    0.000
 567.89;15716.000;    0.000;    0.000
 568.05;11956.000;    0.000;    0.000
 568.21;18516.000;    0.000;    0.000
 568.37; 8084.000;    0.000;    0.000
 568.54;12020.000;    0.000;    0.000
 568.70;14000.000;    0.000;    0.000
 568.86;15844.000;    0.000;    0.000
 569.02;12732.000;    0.000;    0.000
 569.18;15712.000;    0.000;    0.000
 569.34;10080.000;    0.000;    0.000
 569.51;14552.000;    0.000;    0.000
 569.67;19728.000;    0.000;    0.000
 569.83;13428.000;    0.000;    0.000
 569.99;16912.000;    0.000;    0.000
 570.15;14920.000;    0.000;    0.000
 570.31;12776.000;    0.000;    0.000
 570.48; 9844.000;    0.000;    0.000
 570.64;15092.000;    0.000;    0.000
 570.80;11092.000;    0.000;    0.000
 570.96;12048.000;    0.000;    0.000
 571.12;16652.000;    0.000;    0.000
 571.28;24056.000;    0.000;    0.000
 571.45; 8720.000;    0.000;    0.000
 571.61;15064.000;    0.000;    0.000
 571.77;14468.000;    0.000;    0.000
 571.93;22124.000;    0.000;    0.000
 572.09;10984.000;    0.000;    0.000
 572.25; 9800.000;    0.000;    0.000
 572.42;17872.000;    0.000;    0.000
 572.58;10192.000;    0.000;    0.000
 572.74; 9848.000;    0.000;    0.000
 572.90;18520.000;    0.000;    0.000
 573.06;11540.000;    0.000;    0.000
 573.22;12588.000;    0.000;    0.000
 573.39;15756.000;    0.000;    0.000
 573.55;11840.000;    0.000;    0.000
 573.71;14300.000;    0.000;    0.000
 573.87;18016.000;    0.000;    0.000
 574.03; 9676.000;    0.000;    0.000
 574.19;12632.000;    0.000;    0.000
 574.35;11224.000;    0.000;    0.000
 574.52;10796.000;    0.000;    0.000
 574.68;17720.000;    0.000;    0.000
 574.84;17952.000;    0.000;    0.000
 575.00;12976.000;    0.000;    0.000
 575.16;13188.000;    0.000;    0.000
 575.32; 8360.000;    0.000;    0.000
 575.48;10288.000;    0.000;    0.000
 575.65;12856.000;    0.000;    0.000
 575.81;13740.000;    0.000;    0.000
 575.97;10256.000;    0.000;    0.000
 576.13;22496.000;    0.000;    0.000
 576.29;10648.000;    0.000;    0.000
 576.45;27044.000;    0.000;    0.000
 576.61;11708.000;    0.000;    0.000
 576.78;17124.000;    0.000;    0.000
 576.94;15248.000;    0.000;    0.000
 577.10;13432.000;    0.000;    0.000
 577.26;15452.000;    0.000;    0.000
 577.42;20120.000;    0.000;    0.000
 577.58;13136.000;    0.000;    0.000
 577.74;14336.000;    0.000;    0.000
 577.90;12848.000;    0.000;    0.000
 578.07;15100.000;    0.000;    0.000
 578.23;16608.000;    0.000;    0.000
 578.39;12480.000;    0.000;    0.000
 578.55;12320.000;    0.000;    0.000
 578.71;14988.000;    0.000;    0.000
 578.87;15232.000;    0.000;    0.000
 579.03;13284.000;    0.000;    0.000
 579.20;11692.000;    0.000;    0.000
 579.36;16508.000;    0.000;    0.000
 579.52;10984.000;    0.000;    0.000
 579.68;17436.000;    0.000;    0.000
 579.84; 9852.000;    0.000;    0.000
 580.00;12056.000;    0.000;    0.000
 580.16;10788.000;    0.000;    0.000
 580.32;17084.000;    0.000;    0.000
 580.48; 7164.000;    0.000;    0.000
 580.65;21432.000;    0.000;    0.000
 580.81;10524.000;    0.000;    0.000
 580.97;13544.000;    0.000;    0.000
 581.13;14568.000;    0.000;    0.000
 581.29; 9876.000;    0.000;    0.000
 581.45;10092.000;    0.000;    0.000
 581.61;13148.000;    0.000;    0.000
 581.77;12132.000;    0.000;    0.000
 581.94;11656.000;    0.000;    0.000
 582.10;20092.000;    0.000;    0.000
 582.26;21176.000;    0.000;    0.000
 582.42; 9724.000;    0.000;    0.000
 582.58;12340.000;    0.000;    0.000
 582.74;13316.000;    0.000;    0.000
 582.90;12796.000;    0.000;    0.000
 583.06;12712.000;    0.000;    0.000
 583.22;13784.000;    0.000;    0.000
 583.38;17392.000;    0.000;    0.000
 583.55;12712.000;    0.000;    0.000
 583.71;13972.000;    0.000;    0.000
 583.87;18984.000;    0.000;    0.000
 584.03;15548.000;    0.000;    0.000
 584.19;15388.000;    0.000;    0.000
 584.35; 8800.000;    0.000;    0.000
 584.51;16216.000;    0.000;    0.000
 584.67;14464.000;    0.000;    0.000
 584.83;13424.000;    0.000;    0.000
 584.99;12104.000;    0.000;    0.000
 585.16;15344.000;    0.000;    0.000
 585.32;22148.000;    0.000;    0.000
 585.48;14572.000;    0.000;    0.000
 585.64;15124.000;    0.000;    0.000
 585.80;12164.000;    0.000;    0.000
 585.96;19132.000;    0.000;    0.000
