J_Peri,,Sample 2,,Sample 3,,Sample 4_EX_290.00,,Sample 4_EX_295.00,,Sample 4_EX_305.00,,Sample 4_EX_315.00,,Sample 4_EX_325.00,,Sample 4_EX_335.00,,Sample 4_EX_345.00,,Sample 4_EX_355.00,,Sample 4_EX_365.00,,Sample 4_EX_375.00,,Sample 4_EX_385.00,,Sample 4_EX_395.00,,Sample 4_EX_405.00,,Sample 4_EX_415.00,,Sample 4_EX_425.00,,Sample 4_EX_435.00,,Sample 4_EX_445.00,,Sample 4_EX_455.00,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
465,13.04401398,465,678.8434448,465,565.5415039,465,581.9769897,465,666.0771484,465,633.7191772,465,572.973877,465,658.581604,465,704.7593994,465,686.1223755,465,665.5001831,465,592.1316528,465,611.7662354,465,554.2783813,465,507.5076294,465,429.7792358,465,380.6990967,465,328.864563,465,376.3373718,465,513.8121948,465,1000
466.0599976,12.05873966,466.0599976,624.3078003,466.0599976,549.1004639,466.0599976,559.1340332,466.0599976,628.4505615,466.0599976,613.7351685,466.0599976,565.0702515,466.0599976,622.7861328,466.0599976,667.8366699,466.0599976,668.9639893,466.0599976,649.0911255,466.0599976,580.3712158,466.0599976,603.2814941,466.0599976,529.3909912,466.0599976,493.2170715,466.0599976,414.475708,466.0599976,378.6684265,466.0599976,319.7955933,466.0599976,362.3218079,466.0599976,476.1574097,466.0599976,1000
466.9599915,10.98570824,466.9599915,572.3395996,466.9599915,540.5040283,466.9599915,525.7709351,466.9599915,614.586853,466.9599915,599.923645,466.9599915,559.1515503,466.9599915,622.4938965,466.9599915,682.7526245,466.9599915,662.9283447,466.9599915,609.3476563,466.9599915,579.1498413,466.9599915,599.8673706,466.9599915,524.8035889,466.9599915,482.9613037,466.9599915,419.3848877,466.9599915,359.5231934,466.9599915,314.1749573,466.9599915,351.431366,466.9599915,453.5300293,466.9599915,1000
468.0299988,10.21089554,468.0299988,522.6400146,468.0299988,529.0960083,468.0299988,519.0096436,468.0299988,599.0548706,468.0299988,593.7889404,468.0299988,556.9381714,468.0299988,617.5615234,468.0299988,655.4074707,468.0299988,636.0690918,468.0299988,615.7440796,468.0299988,570.6713257,468.0299988,584.916626,468.0299988,524.946228,468.0299988,470.4267273,468.0299988,403.2893372,468.0299988,356.9994812,468.0299988,311.7044067,468.0299988,333.7919617,468.0299988,420.1405334,468.0299988,1000
468.9299927,9.667060852,468.9299927,487.6052856,468.9299927,529.2325439,468.9299927,519.9367676,468.9299927,596.6692505,468.9299927,584.7837524,468.9299927,558.6390381,468.9299927,607.5720825,468.9299927,662.6953735,468.9299927,626.0114746,468.9299927,609.8457031,468.9299927,553.6928101,468.9299927,579.2197266,468.9299927,506.2359619,468.9299927,472.2467346,468.9299927,405.970459,468.9299927,354.6430969,468.9299927,305.3493042,468.9299927,330.2619629,468.9299927,404.5536804,468.9299927,832.9780884
470,9.030508995,470,458.1214905,470,514.8168335,470,483.6584778,470,568.4780884,470,570.204834,470,561.5430298,470,603.1002197,470,626.4229736,470,624.5803223,470,614.890625,470,563.5219116,470,564.2351074,470,500.1723633,470,458.2306824,470,395.513092,470,351.2673035,470,304.2924805,470,318.6009216,470,386.272583,470,691.3223877
471.0599976,8.434690475,471.0599976,431.1010742,471.0599976,509.5618896,471.0599976,469.6609192,471.0599976,560.3439331,471.0599976,559.2282715,471.0599976,536.4463501,471.0599976,578.9544678,471.0599976,630.6456299,471.0599976,610.8885498,471.0599976,597.8498535,471.0599976,554.8217163,471.0599976,566.0188599,471.0599976,493.8559875,471.0599976,456.8259277,471.0599976,395.7965698,471.0599976,347.4399414,471.0599976,301.4146118,471.0599976,313.7038574,471.0599976,369.3934326,471.0599976,637.9351196
471.9599915,8.082135201,471.9599915,408.8813171,471.9599915,503.2244873,471.9599915,452.2599792,471.9599915,534.7689819,471.9599915,549.9769287,471.9599915,535.93927,471.9599915,579.3070679,471.9599915,639.2247314,471.9599915,609.8352051,471.9599915,573.4627686,471.9599915,537.9593506,471.9599915,556.6796875,471.9599915,485.4979553,471.9599915,458.6322632,471.9599915,394.9613342,471.9599915,349.8198242,471.9599915,296.4833679,471.9599915,307.1455994,471.9599915,352.1573181,471.9599915,593.8961182
473.0299988,7.724202633,473.0299988,384.9811401,473.0299988,489.5287781,473.0299988,427.9570618,473.0299988,521.0142822,473.0299988,530.1712646,473.0299988,530.803833,473.0299988,575.4296875,473.0299988,619.8071289,473.0299988,606.6627197,473.0299988,564.8803101,473.0299988,534.1403809,473.0299988,546.1185913,473.0299988,482.2600403,473.0299988,453.3409119,473.0299988,395.9862366,473.0299988,340.3998718,473.0299988,302.0939331,473.0299988,305.0411682,473.0299988,341.0575562,473.0299988,542.597229
473.9299927,7.402644157,473.9299927,372.4573669,473.9299927,491.201416,473.9299927,434.469574,473.9299927,513.5197144,473.9299927,530.1717529,473.9299927,506.1025085,473.9299927,559.6991577,473.9299927,608.0140381,473.9299927,600.9453735,473.9299927,564.6361084,473.9299927,517.5701294,473.9299927,547.5870972,473.9299927,486.5724182,473.9299927,451.9490662,473.9299927,382.250061,473.9299927,344.7108765,473.9299927,298.9833374,473.9299927,303.0881653,473.9299927,330.769104,473.9299927,512.7952881
475,6.88732481,475,360.0406189,475,489.8696289,475,427.5533447,475,491.9457703,475,522.1294556,475,494.1531067,475,561.4435425,475,591.9467773,475,582.8762817,475,553.5847168,475,518.4251709,475,520.9497681,475,480.9343567,475,444.2937317,475,388.7814636,475,341.5533752,475,294.9810181,475,305.0586853,475,322.3525696,475,478.6993713
